window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state	pwsdel_retained_maternal_mean_smoothed	asdel_retained_paternal_mean_smoothed	panel_label
18021000	18022000	18021500	0.8872651682269317	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7966578206420573	NaN	shared methylation scaffold
18022000	18023000	18022500	0.8710667895070534	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8071033205690044	NaN	shared methylation scaffold
18023000	18024000	18023500	0.8398100634920636	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8258225017470301	NaN	shared methylation scaffold
18024000	18025000	18024500	0.7232932938136495	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8071033205690044	NaN	shared methylation scaffold
18025000	18026000	18025500	0.8347905155398158	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8258225017470301	NaN	shared methylation scaffold
18026000	18027000	18026500	0.9074674674674676	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8258225017470301	NaN	shared methylation scaffold
18027000	18028000	18027500	0.8936169141252006	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8258225017470301	NaN	shared methylation scaffold
18028000	18029000	18028500	0.8258225017470301	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8258225017470301	NaN	shared methylation scaffold
18029000	18030000	18029500	0.7213014235699199	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8258225017470301	NaN	shared methylation scaffold
18030000	18031000	18030500	0.908236178550132	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8287427200887052	NaN	shared methylation scaffold
18031000	18032000	18031500	0.7318645617667356	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8287427200887052	NaN	shared methylation scaffold
18032000	18033000	18032500	0.6908049425360883	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8316629384303802	NaN	shared methylation scaffold
18033000	18034000	18033500	0.8316629384303802	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8287427200887052	NaN	shared methylation scaffold
18034000	18035000	18034500	0.8940170157068064	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8287427200887052	NaN	shared methylation scaffold
18035000	18036000	18035500	0.9050229450400852	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8332267269850979	NaN	shared methylation scaffold
18036000	18037000	18036500	0.8806582007121575	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8332267269850979	NaN	shared methylation scaffold
18037000	18038000	18037500	0.7883841393909786	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8332267269850979	NaN	shared methylation scaffold
18038000	18039000	18038500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8332267269850979	NaN	shared methylation scaffold
18039000	18040000	18039500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8332267269850979	NaN	shared methylation scaffold
18040000	18041000	18040500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8455080818862735	NaN	shared methylation scaffold
18041000	18042000	18041500	0.67644603717967	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8630212266490329	NaN	shared methylation scaffold
18042000	18043000	18042500	0.3715296438788596	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8630212266490329	NaN	shared methylation scaffold
18043000	18044000	18043500	0.2265443922183052	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8439442933315557	NaN	shared methylation scaffold
18044000	18045000	18044500	0.3323327727031076	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8439442933315557	NaN	shared methylation scaffold
18045000	18046000	18045500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8630212266490329	NaN	shared methylation scaffold
18046000	18047000	18046500	0.6867224025974026	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8630212266490329	NaN	shared methylation scaffold
18047000	18048000	18047500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8710799353793826	NaN	shared methylation scaffold
18048000	18049000	18048500	0.7471202931745303	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8720689687441512	NaN	shared methylation scaffold
18049000	18050000	18049500	0.8562256482327313	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.874709551279895	NaN	shared methylation scaffold
18050000	18051000	18050500	0.9037141537324463	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8723430656934306	NaN	shared methylation scaffold
18051000	18052000	18051500	0.8723430656934306	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8723430656934306	NaN	shared methylation scaffold
18052000	18053000	18052500	0.8770760368663596	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8717948717948718	NaN	shared methylation scaffold
18053000	18054000	18053500	0.8868398654577362	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8717948717948718	NaN	shared methylation scaffold
18054000	18055000	18054500	0.8903049019607843	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8708058384301032	NaN	shared methylation scaffold
18055000	18056000	18055500	0.8698168050653344	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8717948717948718	NaN	shared methylation scaffold
18056000	18057000	18056500	0.908434913524745	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8708058384301032	NaN	shared methylation scaffold
18057000	18058000	18057500	0.8791824332072011	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8711209922740095	NaN	shared methylation scaffold
18058000	18059000	18058500	0.7689166666666668	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8711209922740095	NaN	shared methylation scaffold
18059000	18060000	18059500	0.7205369889238342	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8720689687441512	NaN	shared methylation scaffold
18060000	18061000	18060500	0.8775714285714287	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.874709551279895	NaN	shared methylation scaffold
18061000	18062000	18061500	0.9382945205479452	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8723430656934306	NaN	shared methylation scaffold
18062000	18063000	18062500	0.9436338028169012	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8770760368663596	NaN	shared methylation scaffold
18063000	18064000	18063500	0.8717948717948718	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.874709551279895	NaN	shared methylation scaffold
18064000	18065000	18064500	0.9705882352941176	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8773237327188941	NaN	shared methylation scaffold
18065000	18066000	18065500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8773237327188941	NaN	shared methylation scaffold
18066000	18067000	18066500	0.9523809523809524	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.874709551279895	NaN	shared methylation scaffold
18067000	18068000	18067500	0.7618571428571428	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8744354543306156	NaN	shared methylation scaffold
18068000	18069000	18068500	0.8362142857142857	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8711209922740095	NaN	shared methylation scaffold
18069000	18070000	18069500	0.6192743330930065	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8701319589092409	NaN	shared methylation scaffold
18070000	18071000	18070500	0.8972222222222221	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8698168050653344	NaN	shared methylation scaffold
18071000	18072000	18071500	0.7327714122355631	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18072000	18073000	18072500	0.8704471127531472	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18073000	18074000	18073500	0.7961880196523053	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18074000	18075000	18074500	0.8781143834774051	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18075000	18076000	18075500	0.979582785602504	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18076000	18077000	18076500	0.8629111011486974	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18077000	18078000	18077500	0.9321923255204968	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18078000	18079000	18078500	0.8570535257320545	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18079000	18080000	18079500	0.930010989010989	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8666791069509223	NaN	shared methylation scaffold
18080000	18081000	18080500	0.8392555555555555	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8599823134403759	NaN	shared methylation scaffold
18081000	18082000	18081500	0.8438439004881505	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8599823134403759	NaN	shared methylation scaffold
18082000	18083000	18082500	0.8491124695956218	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8553022289814256	NaN	shared methylation scaffold
18083000	18084000	18083500	0.7994472900403081	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8553022289814256	NaN	shared methylation scaffold
18084000	18085000	18084500	0.7881766188204561	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8599823134403759	NaN	shared methylation scaffold
18085000	18086000	18085500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8599823134403759	NaN	shared methylation scaffold
18086000	18087000	18086500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8553022289814256	NaN	shared methylation scaffold
18087000	18088000	18087500	0.8983996842411401	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8553022289814256	NaN	shared methylation scaffold
18088000	18089000	18088500	0.9393780672268908	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8513317009132093	NaN	shared methylation scaffold
18089000	18090000	18089500	0.6669096715235096	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8513317009132093	NaN	shared methylation scaffold
18090000	18091000	18090500	0.8535509322307968	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8464781850418861	NaN	shared methylation scaffold
18091000	18092000	18091500	0.8937930196886429	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8438439004881505	NaN	shared methylation scaffold
18092000	18093000	18092500	0.932233857885921	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8438439004881505	NaN	shared methylation scaffold
18093000	18094000	18093500	0.9518366855870716	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8392555555555555	NaN	shared methylation scaffold
18094000	18095000	18094500	0.8757827459940709	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8131371169480927	NaN	shared methylation scaffold
18095000	18096000	18095500	0.7533216086507503	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8131371169480927	NaN	shared methylation scaffold
18096000	18097000	18096500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7994472900403081	NaN	shared methylation scaffold
18097000	18098000	18097500	0.5081749026654687	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7994472900403081	NaN	shared methylation scaffold
18098000	18099000	18098500	0.4718187134502923	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7881766188204561	NaN	shared methylation scaffold
18099000	18100000	18099500	0.8875890235690237	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7721916666666666	NaN	shared methylation scaffold
18100000	18101000	18100500	0.7507043083900227	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7533216086507503	NaN	shared methylation scaffold
18101000	18102000	18101500	0.5218115371598829	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7627566376587085	NaN	shared methylation scaffold
18102000	18103000	18102500	0.6598853753865183	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7627566376587085	NaN	shared methylation scaffold
18103000	18104000	18103500	0.6121973684210525	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7520129585203865	NaN	shared methylation scaffold
18104000	18105000	18104500	0.8131371169480927	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7504655717671553	NaN	shared methylation scaffold
18105000	18106000	18105500	0.6537542559312282	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7507043083900227	NaN	shared methylation scaffold
18106000	18107000	18106500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7507043083900227	NaN	shared methylation scaffold
18107000	18108000	18107500	0.864202817650186	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7507043083900227	NaN	shared methylation scaffold
18108000	18109000	18108500	0.5504050179211469	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7507043083900227	NaN	shared methylation scaffold
18109000	18110000	18109500	0.6884839749608763	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.750226835144288	NaN	shared methylation scaffold
18110000	18111000	18110500	0.8571374120956398	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.750226835144288	NaN	shared methylation scaffold
18111000	18112000	18111500	0.7721916666666666	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.750226835144288	NaN	shared methylation scaffold
18112000	18113000	18112500	0.945363873164182	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7504655717671553	NaN	shared methylation scaffold
18113000	18114000	18113500	0.5936088654816765	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7507863862211551	NaN	shared methylation scaffold
18114000	18115000	18114500	0.7156666666666666	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7507863862211551	NaN	shared methylation scaffold
18115000	18116000	18115500	0.750226835144288	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7507863862211551	NaN	shared methylation scaffold
18116000	18117000	18116500	0.9138193667487132	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7508684640522876	NaN	shared methylation scaffold
18117000	18118000	18117500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7508684640522876	NaN	shared methylation scaffold
18118000	18119000	18118500	0.4000358333333333	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7508684640522876	NaN	shared methylation scaffold
18119000	18120000	18119500	0.5625178571428571	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7721916666666666	NaN	shared methylation scaffold
18120000	18121000	18120500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7508684640522876	NaN	shared methylation scaffold
18121000	18122000	18121500	0.7508684640522876	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7721916666666666	NaN	shared methylation scaffold
18122000	18123000	18122500	0.9452054794520548	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7734248258752803	NaN	shared methylation scaffold
18123000	18124000	18123500	0.8045808823529412	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7734248258752803	NaN	shared methylation scaffold
18124000	18125000	18124500	0.7372464510332435	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7734248258752803	NaN	shared methylation scaffold
18125000	18126000	18125500	0.8561868480725623	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7896194337184176	NaN	shared methylation scaffold
18126000	18127000	18126500	0.9776703199052132	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7896194337184176	NaN	shared methylation scaffold
18127000	18128000	18127500	0.8612222222222222	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8075944015502182	NaN	shared methylation scaffold
18128000	18129000	18128500	0.90845	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8075944015502182	NaN	shared methylation scaffold
18129000	18130000	18129500	0.7035308988764045	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8233456270404143	NaN	shared methylation scaffold
18130000	18131000	18130500	0.8360833333333334	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.842402236531044	NaN	shared methylation scaffold
18131000	18132000	18131500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.842402236531044	NaN	shared methylation scaffold
18132000	18133000	18132500	0.433744474610357	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.842402236531044	NaN	shared methylation scaffold
18133000	18134000	18133500	0.7187333333333333	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8487211397287545	NaN	shared methylation scaffold
18134000	18135000	18134500	0.9672617702448212	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8561868480725623	NaN	shared methylation scaffold
18135000	18136000	18135500	0.5336139822237383	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8610787878787879	NaN	shared methylation scaffold
18136000	18137000	18136500	0.7746579850838939	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.861150505050505	NaN	shared methylation scaffold
18137000	18138000	18137500	0.9266751571441972	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.861150505050505	NaN	shared methylation scaffold
18138000	18139000	18138500	0.9328524665051968	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.861150505050505	NaN	shared methylation scaffold
18139000	18140000	18139500	0.7649897696832052	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8691243234203004	NaN	shared methylation scaffold
18140000	18141000	18140500	0.8610787878787879	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8691243234203004	NaN	shared methylation scaffold
18141000	18142000	18141500	0.8942338040952564	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8691243234203004	NaN	shared methylation scaffold
18142000	18143000	18142500	0.8106079207474952	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8612222222222222	NaN	shared methylation scaffold
18143000	18144000	18143500	0.8487211397287545	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8690526062485833	NaN	shared methylation scaffold
18144000	18145000	18144500	0.903188419057578	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8610787878787879	NaN	shared methylation scaffold
18145000	18146000	18145500	0.8770264246183787	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8690526062485833	NaN	shared methylation scaffold
18146000	18147000	18146500	0.7830676414369044	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8770264246183787	NaN	shared methylation scaffold
18147000	18148000	18147500	0.899123048617306	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8770264246183787	NaN	shared methylation scaffold
18148000	18149000	18148500	0.8855086604260892	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771010464723237	NaN	shared methylation scaffold
18149000	18150000	18149500	0.8771756683262688	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771756683262688	NaN	shared methylation scaffold
18150000	18151000	18150500	0.9376171171171171	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771010464723237	NaN	shared methylation scaffold
18151000	18152000	18151500	0.8969153116531166	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771756683262688	NaN	shared methylation scaffold
18152000	18153000	18152500	0.813	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.881342164376179	NaN	shared methylation scaffold
18153000	18154000	18153500	0.954020920502092	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771756683262688	NaN	shared methylation scaffold
18154000	18155000	18154500	0.9910714285714286	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771010464723237	NaN	shared methylation scaffold
18155000	18156000	18155500	0.7215189873417721	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771756683262688	NaN	shared methylation scaffold
18156000	18157000	18156500	0.6764705882352942	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8771756683262688	NaN	shared methylation scaffold
18157000	18158000	18157500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8770264246183787	NaN	shared methylation scaffold
18158000	18159000	18158500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8770264246183787	NaN	shared methylation scaffold
18159000	18160000	18159500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8770264246183787	NaN	shared methylation scaffold
18160000	18161000	18160500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18161000	18162000	18161500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18162000	18163000	18162500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18163000	18164000	18163500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18164000	18165000	18164500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18165000	18166000	18165500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.813	NaN	shared methylation scaffold
18166000	18167000	18166500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.813	NaN	shared methylation scaffold
18167000	18168000	18167500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.813	NaN	shared methylation scaffold
18168000	18169000	18168500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8108421992481203	NaN	shared methylation scaffold
18169000	18170000	18169500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8108421992481203	NaN	shared methylation scaffold
18170000	18171000	18170500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8108421992481203	NaN	shared methylation scaffold
18171000	18172000	18171500	0.625	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18172000	18173000	18172500	0.8448275862068966	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18173000	18174000	18173500	0.7998999999999999	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8617520283975659	NaN	shared methylation scaffold
18174000	18175000	18174500	0.6592045454545454	1	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8786764705882353	NaN	shared methylation scaffold
18175000	18176000	18175500	0.752565982404692	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.863786604859335	NaN	shared methylation scaffold
18176000	18177000	18176500	0.8818181818181818	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8786764705882353	NaN	shared methylation scaffold
18177000	18178000	18177500	0.781865838885524	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.863786604859335	NaN	shared methylation scaffold
18178000	18179000	18178500	0.9328888888888888	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8488967391304347	NaN	shared methylation scaffold
18179000	18180000	18179500	0.8795000000000001	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8468621626686657	NaN	shared methylation scaffold
18180000	18181000	18180500	0.8085315992147388	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8448275862068966	NaN	shared methylation scaffold
18181000	18182000	18181500	0.9162568922305764	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8278348927275084	NaN	shared methylation scaffold
18182000	18183000	18182500	0.927448275862069	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8108421992481203	NaN	shared methylation scaffold
18183000	18184000	18183500	0.8108421992481203	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8179210996240601	NaN	shared methylation scaffold
18184000	18185000	18184500	0.9222629629629632	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.819047619047619	NaN	shared methylation scaffold
18185000	18186000	18185500	0.9096410256410256	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8149449091478697	NaN	shared methylation scaffold
18186000	18187000	18186500	0.8786764705882353	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8181818181818181	NaN	shared methylation scaffold
18187000	18188000	18187500	0.7231829268292682	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8181818181818181	NaN	shared methylation scaffold
18188000	18189000	18188500	0.89	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8108421992481203	NaN	shared methylation scaffold
18189000	18190000	18189500	0.9738403141361256	2	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.8181818181818181	NaN	shared methylation scaffold
