sample	window_start	window_end	window_mid	control_maternal	control_paternal
017C	17867000	17868000	17867500	0.6285428571428572	0.7001857142857144
017C	17868000	17869000	17868500	0.7421698113207547	0.8238333333333334
017C	17869000	17870000	17869500	0.41579220779220777	0.35433333333333333
017C	17870000	17871000	17870500	0.23409375	0.013051948051948054
017C	17871000	17872000	17871500	0.3692971887550201	0.42429292929292933
017C	17872000	17873000	17872500	0.4729821428571429	0.5416041666666668
017C	17873000	17874000	17873500	0.6974210526315789	0.5735104895104896
017C	17874000	17875000	17874500	0.4286428571428572	0.5606666666666666
017C	17875000	17876000	17875500	0.43243220338983046	0.5231059602649006
017C	17876000	17877000	17876500	0.617095744680851	0.6591666666666666
017C	17877000	17878000	17877500	0.6	0.6708902439024391
017C	17878000	17879000	17878500	0.6487065637065638	0.6042941176470589
017C	17879000	17880000	17879500	NaN	NaN
017C	17880000	17881000	17880500	NaN	NaN
017C	17881000	17882000	17881500	0.74662	0.7690586206896552
017C	17882000	17883000	17882500	0.7932892561983471	0.7570000000000001
017C	17883000	17884000	17883500	0.40775000000000006	0.46734426229508197
017C	17884000	17885000	17884500	0.5373333333333333	0.4822
017C	17885000	17886000	17885500	0.44834482758620686	0.46233749999999996
017C	17886000	17887000	17886500	0.670860759493671	0.6601553398058253
017C	17887000	17888000	17887500	0.7731344537815125	0.757936305732484
017C	17888000	17889000	17888500	0.5713116883116883	0.5
017C	17889000	17890000	17889500	NaN	NaN
017C	17890000	17891000	17890500	0.5873706293706293	0.650142857142857
017C	17891000	17892000	17891500	0.47631952662721894	0.38919037656903765
017C	17892000	17893000	17892500	0.6435304347826087	0.7088924050632911
017C	17893000	17894000	17893500	0.8746805555555556	0.7615871559633028
017C	17894000	17895000	17894500	0.9153995433789955	0.8628353658536585
017C	17895000	17896000	17895500	0.8501449275362318	0.9223896103896104
017C	17896000	17897000	17896500	0.7541475409836066	0.7303932584269662
017C	17897000	17898000	17897500	0.7863866666666667	0.3932553191489362
017C	17898000	17899000	17898500	0.5278333333333333	0.4081428571428572
017C	17899000	17900000	17899500	NaN	NaN
017C	17900000	17901000	17900500	0.7174344827586207	0.5125555555555557
017C	17901000	17902000	17901500	0.9736842105263158	0.872076923076923
017C	17902000	17903000	17902500	0.8299115646258504	0.8137320261437909
017C	17903000	17904000	17903500	0.41658333333333325	0.6058
017C	17904000	17905000	17904500	0.7351666666666665	0.7328663366336634
017C	17905000	17906000	17905500	0.8571836734693876	0.57972
017C	17906000	17907000	17906500	0.35907692307692307	0.5579060773480663
017C	17907000	17908000	17907500	0.8388333333333334	0.7511719457013574
017C	17908000	17909000	17908500	0.8559917695473251	0.8105518945634267
017C	17909000	17910000	17909500	0.9597085308056871	0.88368743509865
017C	17910000	17911000	17910500	0.8498893280632412	0.8494666666666666
017C	17911000	17912000	17911500	0.8507943548387098	0.7118144144144145
017C	17912000	17913000	17912500	0.4883474178403756	0.7313809523809525
017C	17913000	17914000	17913500	0.8104627329192546	0.7638344640434193
017C	17914000	17915000	17914500	0.7169418604651162	0.6764842657342659
017C	17915000	17916000	17915500	0.8080454545454545	0.8325904977375566
017C	17916000	17917000	17916500	0.6280600000000001	0.7796913183279743
017C	17917000	17918000	17917500	0.8082383720930232	0.7937272727272726
017C	17918000	17919000	17918500	0.6	0.6076101694915254
017C	17919000	17920000	17919500	0.15140909090909088	0.6705222551928783
017C	17920000	17921000	17920500	0.5573850574712643	0.722360086767896
017C	17921000	17922000	17921500	0.710604255319149	0.7050345963756178
017C	17922000	17923000	17922500	0.67580078125	0.7237964376590331
017C	17923000	17924000	17923500	0.6488320610687023	0.8134852652259332
017C	17924000	17925000	17924500	0.7839346733668341	0.8132826086956523
017C	17925000	17926000	17925500	0.6491937172774869	0.6900268595041321
017C	17926000	17927000	17926500	0.8348301886792453	0.7724814004376369
017C	17927000	17928000	17927500	0.822929203539823	0.725294117647059
017C	17928000	17929000	17928500	0.9260625000000001	0.8533127035830619
017C	17929000	17930000	17929500	0.33325000000000005	0.4997906976744186
017C	17930000	17931000	17930500	0.8759999999999999	0.8648986486486486
017C	17931000	17932000	17931500	0.8709333333333333	0.7232738095238096
017C	17932000	17933000	17932500	0.692930693069307	0.5533333333333333
017C	17933000	17934000	17933500	0.726202380952381	0.6458425196850394
017C	17934000	17935000	17934500	0.7568918918918919	0.6993097345132744
017C	17935000	17936000	17935500	0.7625932203389831	0.6305108695652174
017C	17936000	17937000	17936500	0.7024961832061069	0.7473092783505155
017C	17937000	17938000	17937500	0.8943333333333334	0.8876822429906542
017C	17938000	17939000	17938500	0.8308410256410257	0.785611801242236
017C	17939000	17940000	17939500	0.6737375886524822	0.6146945454545455
017C	17940000	17941000	17940500	0.7616076923076923	0.6938217054263566
017C	17941000	17942000	17941500	0.7619691629955948	0.7261666666666667
017C	17942000	17943000	17942500	0.882299539170507	0.9014640088593576
017C	17943000	17944000	17943500	0.6092384105960266	0.7557234726688103
017C	17944000	17945000	17944500	NaN	NaN
017C	17945000	17946000	17945500	0.37474999999999997	0.6311914893617021
017C	17946000	17947000	17946500	0.25	0.707978102189781
017C	17947000	17948000	17947500	0.8931297709923665	0.8561054313099042
017C	17948000	17949000	17948500	0.6969090909090909	0.7064374999999999
017C	17949000	17950000	17949500	0.7659148936170213	0.867485393258427
017C	17950000	17951000	17950500	0.7538	0.7547032258064517
017C	17951000	17952000	17951500	0.857878947368421	0.7892857142857141
017C	17952000	17953000	17952500	0.8186764705882352	0.8620533642691415
017C	17953000	17954000	17953500	0.718734375	0.7253549618320612
017C	17954000	17955000	17954500	0.79075	0.787135135135135
017C	17955000	17956000	17955500	0.8195876288659794	0.8730340557275542
017C	17956000	17957000	17956500	0.8064731182795698	0.5431206896551725
017C	17957000	17958000	17957500	0.6411111111111111	0.5713788819875777
017C	17958000	17959000	17958500	0.7114999999999999	0.61175
017C	17959000	17960000	17959500	0.5982222222222221	0.8515806451612904
017C	17960000	17961000	17960500	0.5270135135135136	0.5665309734513274
017C	17961000	17962000	17961500	0.46994	0.7433333333333333
017C	17962000	17963000	17962500	0.55775	0.7134031007751938
017C	17963000	17964000	17963500	0.5998499999999999	0.6991935483870968
017C	17964000	17965000	17964500	0.8629473684210526	0.8276344827586207
017C	17965000	17966000	17965500	0.8751564986737401	0.874962121212121
017C	17966000	17967000	17966500	0.6469705882352941	0.7661290322580645
017C	17967000	17968000	17967500	0.705161403508772	0.6646526946107785
017C	17968000	17969000	17968500	0.7290258064516129	0.7766990291262136
017C	17969000	17970000	17969500	0.819096638655462	0.827111111111111
017C	17970000	17971000	17970500	0.6690287769784173	0.7372929292929292
017C	17971000	17972000	17971500	0.8100000000000002	0.7948461538461539
017C	17972000	17973000	17972500	0.6419054726368159	0.735046357615894
017C	17973000	17974000	17973500	0.5913962264150944	0.8306999999999999
017C	17974000	17975000	17974500	0.8331666666666666	0.8517901234567902
017C	17975000	17976000	17975500	0.7866363636363636	0.8270526315789474
017C	17976000	17977000	17976500	0.8088137254901961	0.844399293286219
017C	17977000	17978000	17977500	0.7692076923076923	0.9401666666666666
017C	17978000	17979000	17978500	0.8798019480519482	0.9465918367346939
017C	17979000	17980000	17979500	0.7499285714285714	0.8147839506172838
017C	17980000	17981000	17980500	0.8	0.8529313725490195
017C	17981000	17982000	17981500	NaN	0.9231076923076923
017C	17982000	17983000	17982500	NaN	0.9151694915254237
017C	17983000	17984000	17983500	NaN	0.92029203539823
017C	17984000	17985000	17984500	NaN	0.8737815533980582
017C	17985000	17986000	17985500	NaN	0.9648771929824562
017C	17986000	17987000	17986500	0.96875	0.9149255319148938
017C	17987000	17988000	17987500	0.7	0.9716136363636363
017C	17988000	17989000	17988500	0.8888888888888888	0.8269999999999998
017C	17989000	17990000	17989500	0.7846153846153846	0.8393523316062177
017C	17990000	17991000	17990500	0.66	0.8492138364779874
017C	17991000	17992000	17991500	0.7111111111111111	0.8301111111111112
017C	17992000	17993000	17992500	0.76	0.8698418079096046
017C	17993000	17994000	17993500	0.7538461538461538	0.9015384615384614
017C	17994000	17995000	17994500	0.9217217391304349	0.9329076433121019
017C	17995000	17996000	17995500	0.7692222222222221	0.7056153846153845
017C	17996000	17997000	17996500	0.6911764705882353	0.8067777777777779
017C	17997000	17998000	17997500	0.8170853658536585	0.7364147286821705
017C	17998000	17999000	17998500	0.8818582677165354	0.9299745222929935
017C	17999000	18000000	17999500	0.7585862068965517	0.682090909090909
017C	18000000	18001000	18000500	0.7272727272727273	0.8856445783132529
017C	18001000	18002000	18001500	0.7120909090909091	0.94376875
017C	18002000	18003000	18002500	0.4814444444444444	0.9386384615384615
017C	18003000	18004000	18003500	0.9421322314049586	0.9630805369127516
017C	18004000	18005000	18004500	0.84658	0.992032
017C	18005000	18006000	18005500	0.5512677165354329	0.5806048387096775
017C	18006000	18007000	18006500	0.3297367021276596	0.8986621621621622
017C	18007000	18008000	18007500	0.3473552631578947	0.6482222222222224
017C	18008000	18009000	18008500	0.7215015479876161	0.7378446601941747
017C	18009000	18010000	18009500	0.40578442028985506	0.6480111731843575
017C	18010000	18011000	18010500	0.20904501607717044	0.9298515624999999
017C	18011000	18012000	18011500	0.4088142414860681	0.7728972972972974
017C	18012000	18013000	18012500	0.5290747922437673	0.8321032258064516
017C	18013000	18014000	18013500	0.4383369565217391	0.9257777777777777
017C	18014000	18015000	18014500	0.6976821705426355	0.6110486111111111
017C	18015000	18016000	18015500	0.7772	0.7638
017C	18016000	18017000	18016500	0.8153860640301319	0.8668910411622275
017C	18017000	18018000	18017500	NaN	NaN
017C	18018000	18019000	18018500	0.7994131274131274	0.5919132653061224
017C	18019000	18020000	18019500	0.7805	0.8174130434782608
017C	18020000	18021000	18020500	0.7593999999999999	0.7501293103448275
017C	18021000	18022000	18021500	0.9056370510396975	0.8422207792207793
017C	18022000	18023000	18022500	0.9283526717557251	0.8186861598440546
017C	18023000	18024000	18023500	0.8522682512733447	0.8734582338902147
017C	18024000	18025000	18024500	0.667930501930502	0.6268258706467662
017C	18025000	18026000	18025500	0.856585648148148	0.6389819494584837
017C	18026000	18027000	18026500	0.8942286689419796	0.8053837837837837
017C	18027000	18028000	18027500	0.8779207708779443	0.8317093023255814
017C	18028000	18029000	18028500	0.8001039999999999	0.7064999999999999
017C	18029000	18030000	18029500	0.8143814432989691	0.6868059701492537
017C	18030000	18031000	18030500	0.7877053140096618	0.7896644736842106
017C	18031000	18032000	18031500	0.70672	0.6511250000000001
017C	18032000	18033000	18032500	0.6395860215053764	0.6271525423728814
017C	18033000	18034000	18033500	0.7858872180451127	0.61241875
017C	18034000	18035000	18034500	0.8501666666666666	0.8706985645933014
017C	18035000	18036000	18035500	0.8263293413173651	0.9086848958333335
017C	18036000	18037000	18036500	0.7195205479452056	0.7661948051948052
017C	18037000	18038000	18037500	0.6959647577092511	0.7064999999999999
017C	18038000	18039000	18038500	NaN	NaN
017C	18039000	18040000	18039500	NaN	NaN
017C	18040000	18041000	18040500	NaN	NaN
017C	18041000	18042000	18041500	0.7175	0.6758156424581006
017C	18042000	18043000	18042500	0.4174660194174757	0.3693478260869565
017C	18043000	18044000	18043500	0.19577443609022555	0.22553521126760565
017C	18044000	18045000	18044500	0.24008	0.23076923076923078
017C	18045000	18046000	18045500	NaN	NaN
017C	18046000	18047000	18046500	0.8554819277108433	0.8334
017C	18047000	18048000	18047500	NaN	NaN
017C	18048000	18049000	18048500	0.9065999999999999	0.9422988505747127
017C	18049000	18050000	18049500	0.8518859315589353	0.879740506329114
017C	18050000	18051000	18050500	0.942773413897281	0.818
017C	18051000	18052000	18051500	0.8771283422459892	0.5844923076923078
